cube,cube_idx,dropped,dem_mean,forest_frac,ndvi_mean,ndvi_forest_mean
mc_-2.43_42.47_1.2.2_20230705_0,124,True,389.97438644245267,0.00067138671875,0.302757373615619,0.6830605646784431
mc_-3.07_37.22_1.3_20230910_0,125,True,1094.5472704097629,0.0010986328125,0.05183814597434531,0.5047089032479121
mc_-2.98_37.41_1.2.2_20230705_0,126,True,1213.1419784873724,0.02508544921875,0.18924487679207994,0.5151222814031442
mc_-2.81_39.95_1.2.2_20230705_0,127,True,952.5604924894869,0.12054443359375,0.2849826297212609,0.482442130005109
mc_-3.06_42.97_1.2.2_20230705_0,128,False,816.5920526012778,0.301025390625,0.5947332201520985,0.7098533888096711
mc_-2.42_43.09_1.2.2_20230705_0,129,False,353.3260241160169,0.670654296875,0.761551195720092,0.8345030180938087
mc_-2.90_42.08_1.2.2_20230705_0,130,False,1355.1291455328465,0.8106689453125,0.6650063667822835,0.6899526782668997
mc_-2.91_37.58_1.2.2_20230705_0,131,True,724.7489394694567,0.06072998046875,0.21994530485595196,0.4056940526101883
mc_-3.07_38.46_1.2.2_20230705_0,132,False,824.017963565886,0.70849609375,0.379562088827623,0.4175907702631107
mc_-3.15_43.22_1.2.2_20230705_0,133,False,192.52092957356945,0.5908203125,0.7660803079986777,0.8308348906303725
mc_-3.18_42.22_1.2.2_20230705_0,134,False,1546.874228067696,0.9517822265625,0.7720222415784798,0.7857124280907481
mc_-3.28_42.39_1.2.2_20230705_0,135,False,987.2827527560294,0.5452880859375,0.6472414885334682,0.8487957452797978
mc_-3.34_41.92_1.2.2_20230705_0,136,False,1123.5530976578593,0.7962646484375,0.6177267739142002,0.6576035916255153
mc_-3.54_43.09_1.2.2_20230705_0,137,False,935.6644533127546,0.4840087890625,0.7029621651129982,0.763070074737371
mc_-3.43_42.79_1.3_20230910_0,138,False,835.1703494340181,0.94091796875,0.7545320313566499,0.760804611991495
mc_-3.72_42.34_1.2.2_20230705_0,139,True,868.6580261699855,0.04815673828125,0.35826443406457203,0.6463604334140531
mc_-3.67_42.76_1.2.2_20230705_0,140,False,1045.4307333864272,0.65679931640625,0.5719496223552011,0.6700310771937956
mc_-4.79_42.72_1.2.2_20230705_0,141,False,1128.397532850504,0.5224609375,0.5392413413514033,0.7138322205869695
mc_-3.96_42.97_1.2.2_20230705_0,142,False,885.6133639961481,0.56134033203125,0.6812196187558173,0.747236437410103
mc_-5.01_40.30_1.3_20230910_0,143,False,989.1844170838594,0.67242431640625,0.6715727259543368,0.7149053500262283
mc_-5.01_40.35_1.1_20230611_0,144,False,1369.0075090304017,0.8421630859375,0.6372559347574742,0.668396610391324
mc_-5.06_38.63_1.2.2_20230705_0,145,True,438.49602458253503,0.00091552734375,0.16522717860167246,0.18272123945649715
mc_-5.55_42.59_1.3_20230910_0,146,False,833.4383716583252,0.0489501953125,0.3437920456912549,0.5749822963373146
mc_-4.43_42.84_1.2.2_20230705_0,147,False,1015.8462020456791,0.3900146484375,0.5397227741926343,0.6675608612064916
mc_-5.12_42.82_1.2.2_20230705_0,148,False,1116.737376820296,0.61444091796875,0.6476027777305281,0.7264059726252025
mc_-5.65_42.72_1.2.2_20230705_0,149,False,939.7866539992392,0.1573486328125,0.5247180692817294,0.7031660107280345
mc_-5.56_42.59_1.2.2_20230705_0,150,True,827.8607053309679,0.00958251953125,0.307172427345029,0.5703703820083426
mc_-5.75_42.72_1.3_20230910_0,151,False,1118.391657680273,0.47845458984375,0.5491547301826225,0.7004697917485124
mc_-5.44_42.72_1.2.2_20230705_0,152,False,1000.1261280588806,0.6761474609375,0.6458512534361893,0.7105009189826255
mc_-6.16_41.93_1.3_20230916_0,153,False,893.5387127883732,0.66156005859375,0.5362946105093054,0.5878635053629105
mc_-6.01_41.58_1.3_20230916_0,154,False,754.2716340720654,0.8167724609375,0.49824370378044097,0.5276282078844992
mc_-6.00_39.59_1.3_20230916_0,155,True,363.73561860620975,0.001708984375,0.23225215209209593,0.4018935669120747
mc_-6.12_41.85_1.3_20230916_0,156,False,914.4202129542828,0.763916015625,0.5195890987794317,0.5663257371195509
mc_-5.93_42.80_1.3_20230910_0,157,False,1155.875489473343,0.3187255859375,0.5516364433042317,0.7368185965444477
mc_-6.43_41.71_1.3_20230916_0,158,False,816.1238972358406,0.79150390625,0.510293160966578,0.5427876061791291
mc_-6.38_42.06_1.3_20230916_0,159,False,915.7539076320827,0.50811767578125,0.5578819679657467,0.640286681507082
mc_-6.43_42.47_1.3_20230916_0,160,False,1189.147203180939,0.93731689453125,0.7531520430194237,0.7577179188701204
mc_-6.40_41.82_1.3_20230916_0,161,False,811.4991286545992,0.44720458984375,0.44552551541402546,0.5426560378192282
mc_-6.14_42.84_1.3_20230916_0,162,False,1398.6428926885128,0.86285400390625,0.7744289595848789,0.7974592221480301
mc_-6.53_42.59_1.3_20230916_0,163,False,623.7457841895521,0.2232666015625,0.5533473520455212,0.6955920700896393
mc_-6.68_41.97_1.3_20230916_0,164,False,913.9563026204705,0.87799072265625,0.48156031520370546,0.5018857357903417
mc_-6.63_42.34_1.3_20230916_0,165,False,1296.2660068795085,0.86187744140625,0.6343252495735491,0.6564586467890977
mc_-6.20_42.72_1.3_20230916_0,166,False,1108.459347318858,0.89666748046875,0.7812953984298625,0.8055456809230601
mc_-6.86_41.82_1.3_20230916_0,167,False,938.5508700273931,0.7236328125,0.6753849402955989,0.7815752308352882
mc_-6.72_42.22_1.3_20230916_0,168,False,1875.830697849393,0.87445068359375,0.5538363770587903,0.5649780253580342
mc_-6.85_41.96_1.3_20230916_0,169,False,1063.2304287143052,0.93524169921875,0.6210040078695065,0.6353135555697612
mc_-6.86_42.45_1.3_20230916_0,170,False,747.2741238959134,0.5819091796875,0.5925959488092628,0.6290688294976923
mc_-7.07_42.34_1.3_20230928_0,171,False,734.9189400412142,0.8968505859375,0.6872835864184603,0.7024946771960281
mc_-7.06_42.09_1.3_20230928_0,172,False,1181.8753629773855,0.91796875,0.7096656625428878,0.7044239259243473
mc_-7.50_42.22_1.3_20230928_0,173,False,1400.5447346642613,0.975830078125,0.7126691190163269,0.7154685480922619
mc_-8.75_37.35_1.3_20230928_0,174,False,138.27832879289053,0.55889892578125,0.5108779944953915,0.5800625324550766
mc_0.05_46.58_1.3_20230928_0,175,False,159.31427031196654,0.373291015625,0.6191658746558987,0.8538798580763769
mc_0.04_48.72_1.3_20230928_0,176,True,163.49536858592182,0.03155517578125,0.5589544452857291,0.836162122597708
mc_0.06_43.44_1.3_20230928_0,177,False,195.48253564629704,0.49957275390625,0.7769920139824951,0.8598140454594785
mc_0.06_42.84_1.3_20230928_0,178,True,2225.306549988687,0.042236328125,0.5056185590502723,0.7130396365764733
mc_0.06_48.18_1.3_20230928_0,179,True,84.07589366286993,0.093017578125,0.6424460899427167,0.8384354464257798
mc_0.06_44.22_1.3_20230928_0,180,False,120.9965673359111,0.99591064453125,0.6377456219474913,0.637932670955445
mc_0.06_48.78_1.3_20230928_0,181,False,181.66795873781666,0.50811767578125,0.6781748643516284,0.8172965047716504
mc_0.07_45.91_1.3_20230928_0,182,False,120.29569533187896,0.50006103515625,0.6531716815110618,0.8568388327781855
mc_0.07_51.09_1.3_20230928_0,183,False,88.92492543696426,0.3115234375,0.7521131186245232,0.8167422872762362
mc_0.18_47.47_1.3_20230928_0,184,False,89.01435484061949,0.5863037109375,0.6894024253345119,0.7692545890362009
mc_0.09_44.36_1.3_20230928_0,185,False,65.7821886765305,0.6212158203125,0.7055066166809489,0.7640293284432174
mc_0.15_48.47_1.3_20230928_0,186,True,139.83541266946122,0.02178955078125,0.5945322687161027,0.8080780470271766
mc_0.09_40.60_1.3_20230928_0,187,False,751.3666972368956,0.87896728515625,0.6637023387085251,0.6837713047829607
mc_0.19_44.28_1.3_20230928_0,188,False,111.35648569231853,0.62890625,0.6674697326906905,0.7520994226646508
mc_0.19_44.40_1.3_20230928_0,189,False,83.26125045027584,0.6556396484375,0.7627007919985929,0.8570507554433617
mc_0.19_46.09_1.3_20230928_0,190,False,157.99430376384407,0.523193359375,0.6848195607989656,0.8410118741094342
mc_0.20_45.21_1.3_20230928_0,191,False,83.48453962313943,0.50238037109375,0.6998197125426977,0.7889208271847588
mc_0.22_48.59_1.3_20230928_0,192,True,200.46591342426836,0.000732421875,0.5741453212210824,0.8350414876182796
